Y,ID
3.8,TLXTFAC_TYN
3.9,TLXTFAC_TYN
3.3,TLXTFAC_TYN
3.5,TLXTFAC_TYN
3.5,TLXTFAC_TYN
2.8,TLXTFAC_TYN
2.4,TLXTFAC_TYN
3.5,TLXTFAC_TYN
3.4,TLXTFAC_TYN
4.6,TLXTFAC_TYN
3.1,TLXTFAC_TYN
2.3,TLXTFAC_TYN
2.5,TLXTFAC_TYN
3.5,TLXTFAC_TYN
4.1,TLXTFAC_TYN
3.9,TLXTFAC_TYN
4.1,TLXTFAC_TYN
3.4,TLXTFAC_TYN
2.3,TLXTFAC_TYN
4.0,TLXTFAC_TYN
2.8,TLXTFAC_TYN
2.8,TLXTFAC_TYN
2.6,TLXTFAC_TYN
2.7,TLXTFAC_TYN
3.1,TLXTFAC_TYN
4.6,TLXTFAC_TYN
3.8,TLXTFAC_TYN
4.6,TLXTFAC_TYN
3.3,TLXTFAC_TYN
3.1,TLXTFAC_TYN
4.1,TLXTFAC_TYN
3.5,TLXTFAC_TYN
2.8,TLXTFAC_TYN
4.1,TLXTFAC_TYN
2.6,TLXTFAC_TYN
4.8,TLXTFAC_TYN
4.0,TLXTFAC_TYN
2.5,TLXTFAC_TYN
2.8,TLXTFAC_TYN
3.5,TLXTFAC_TYN
3.3,TLXTFAC_TYN
3.2,TLXTFAC_TYN
2.9,TLXTFAC_TYN
2.7,TLXTFAC_TYN
3.7,TLXTFAC_TYN
3.3,TLXTFAC_TYN
4.3,TLXTFAC_TYN
4.7,TLXTFAC_TYN
3.7,TLXTFAC_TYN
2.2,TLXTFAC_TYN
3.5,TLXTFAC_TYN
2.5,TLXTFAC_TYN
4.3,TLXTFAC_TYN
2.9,TLXTFAC_TYN
2.3,TLXTFAC_TYN
4.4,TLXTFAC_TYN
3.2,TLXTFAC_TYN
3.9,TLXTFAC_TYN
4.0,TLXTFAC_TYN
3.5,TLXTFAC_TYN
3.7,TLXTFAC_TYN
4.2,TLXTFAC_TYN
3.8,TLXTFAC_TYN
4.4,TLXTFAC_TYN
4.5,TLXTFAC_TYN
4.3,EILHYBW
4.0,EILHYBW
3.5,EILHYBW
4.5,EILHYBW
4.1,EILHYBW
5.1,EILHYBW
4.0,EILHYBW
3.8,EILHYBW
4.8,EILHYBW
3.8,EILHYBW
4.6,EILHYBW
4.8,EILHYBW
4.1,EILHYBW
5.1,EILHYBW
5.2,EILHYBW
4.9,EILHYBW
5.3,EILHYBW
4.0,EILHYBW
3.9,EILHYBW
3.8,EILHYBW
4.5,EILHYBW
3.9,EILHYBW
4.4,EILHYBW
4.4,EILHYBW
2.5,EILHYBW
3.7,EILHYBW
2.0,EILHYBW
4.3,EILHYBW
4.2,EILHYBW
3.0,EILHYBW
3.6,EILHYBW
5.5,EILHYBW
3.5,EILHYBW
4.0,EILHYBW
5.0,EILHYBW
3.1,EILHYBW
5.5,EILHYBW
3.5,EILHYBW
3.3,EILHYBW
2.9,EILHYBW
3.1,EILHYBW
3.6,EILHYBW
3.9,EILHYBW
3.4,EILHYBW
3.7,EILHYBW
